年別,工業及服務業,男性,女性,工業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,服務業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,專業科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術_娛樂及休閒服務業,其他服務業
1980,8843,10046,7148,8206,11549,8035,14944,9103,8310,10174,9274,10586,7358,13708,14103,17961,10898,10354,-,12724,8218,8313
1981,10677,12550,8051,9915,14751,9556,19157,10800,10764,12186,11488,12697,8501,15999,17467,18724,12458,11401,-,14502,10033,8462
1982,11473,13555,8671,10772,15198,10456,20612,12191,11415,12803,11728,13958,8730,16190,19269,20574,13991,13109,-,13360,8943,9446
1983,12122,14311,9200,11490,14822,11122,21678,12678,12718,13330,12232,14239,9494,16362,19134,21798,15538,12694,-,14119,9871,9829
1984,13410,15801,10228,12545,15773,12153,25503,13102,14122,15115,14419,15184,10631,18111,21505,22150,17188,13638,-,16683,10277,10235
1985,13981,16581,10526,13100,16322,12678,29007,13977,14763,15716,14413,16527,10619,20481,23247,23135,17890,14452,-,17583,10076,10351
1986,15119,17793,11590,14249,17181,13961,28999,15356,15037,16871,15787,17470,10525,23187,24564,22068,18411,15948,-,19142,10869,10323
1987,16497,19316,12778,15565,17863,15335,30242,15752,16044,18338,17196,18390,11151,24686,28054,23788,20483,16288,-,20453,11854,11460
1988,18400,21550,14261,17284,19762,16989,34495,20688,17879,20441,19024,20174,12142,27544,32362,25923,22876,17197,-,22887,13207,12829
1989,21247,24888,16434,19919,21689,19431,42612,23022,21433,23439,21021,23369,13491,32564,39248,30359,26038,18896,-,25147,16153,14737
1990,24315,28378,18916,22686,26522,22014,47466,28249,24719,26751,24692,26376,15448,36866,39061,33984,30982,22457,-,29158,17888,16902
1991,26875,31446,20794,25362,28671,24430,58395,29916,28193,29032,26435,29898,17049,41579,41031,39214,33345,23702,-,32366,18235,18631
1992,29436,34390,22784,27937,31937,26942,60937,31017,30825,31437,28152,32272,18209,44519,46380,39911,37285,25708,-,35670,20463,21485
1993,31689,36912,24623,30043,32875,28826,64897,33927,33638,33752,30548,34769,18950,48782,50034,42402,39900,27785,-,37176,21124,22150
1994,33637,38920,26470,31833,33887,30752,69330,38065,34379,35802,32089,36712,20373,52229,56462,42056,39730,29018,-,39633,22133,23205
1995,35355,40573,28312,33439,35633,32494,71940,39072,35278,37433,34149,39260,22317,54649,54658,40614,41436,32927,-,41623,22116,25077
1996,36655,41894,29637,34697,37354,33839,79953,39304,35817,38714,34905,40985,22198,55873,56887,40445,41642,33649,-,44797,23532,25846
1997,38435,43716,31395,36179,38545,35408,80437,40281,37029,40787,36406,42717,23528,58831,60597,40666,44042,35394,-,47378,24894,26929
1998,39603,44945,32601,37234,40083,36438,88192,41708,37886,42022,37696,44076,24040,61421,59546,41719,45393,34814,-,48920,26256,29530
1999,40781,46056,33964,38410,41432,37746,91265,44729,38070,43166,38695,45074,25117,61260,60332,44429,47349,34920,-,51020,26524,30825
2000,41831,47198,35009,39505,43066,38922,91805,44341,38897,44143,39541,45951,26060,62759,60872,43716,48628,35277,-,53397,27592,31335
2001,41952,46995,35623,39011,44068,38420,97399,46002,37746,44796,39775,48019,25973,62100,62657,42277,48812,35579,-,54484,28338,29927
2002,41533,46132,35840,38843,44804,38444,93466,43917,36844,44105,39152,46512,25687,59239,65703,40896,45653,34605,-,53841,27889,29236
2003,42068,46694,36373,39858,47720,39558,95191,43954,37214,44152,39610,45936,24951,60292,64645,40431,47411,32871,-,55702,27666,28947
2004,42684,47471,36844,40849,46307,40666,94525,42880,37916,44386,39819,46884,24812,59417,66671,39781,49292,32707,-,55341,29662,29421
2005,43162,47834,37479,41916,47671,41868,91184,47647,38450,44280,39546,48516,25121,61381,65113,38819,50871,32815,-,55604,29898,30384
2006,43492,48019,38034,42515,53344,42403,97230,47251,39168,44349,39380,48340,24960,61134,69054,38313,51721,32622,-,55430,31303,30203
2007,44411,48899,39029,43358,50949,43240,98519,44399,40310,45320,39463,49095,25476,63738,75824,37874,53144,33102,-,56614,31414,29925
2008,44419,49062,38861,43384,51333,43297,89432,44521,40754,45298,39956,49583,26699,63812,71520,40340,54169,32916,-,58134,31931,29314
2009,42300,46456,37322,40338,49448,39525,96285,44042,40870,43869,40081,47909,27106,61932,67713,39032,49426,31249,22197,57858,31242,29738
2010,44647,48970,39470,43465,52551,43152,96523,45106,41599,45603,41766,49009,27788,64330,74219,42093,52141,32064,22459,57897,32687,30832
2011,45963,50487,40572,44824,53978,44603,95382,45828,42716,46885,42562,50330,29715,66376,76920,43783,54097,32855,22416,59900,33236,32526
2012,46075,50435,40886,45375,52752,45318,92871,43675,42683,46633,41530,50327,29961,66998,77960,41546,54884,33214,22773,60770,35446,32618
2013,46087,50405,40942,45632,54871,45685,88934,44143,42540,46445,41425,49929,30119,65660,77855,42165,53655,33243,22923,61362,36070,33069
2014,47744,52046,42646,47269,54093,47455,94111,44919,43251,48116,43119,50142,31225,66613,83071,44786,55169,34177,24226,63750,35829,34556
2015,48956,53328,43779,48928,57198,49374,96595,44357,43346,48977,43747,51369,31986,66879,84718,44075,55735,34881,24304,67676,36184,33996
2016,49257,53530,44177,49332,55425,49969,94453,43216,42839,49200,43614,52275,31870,68127,85417,42897,55844,35189,24876,69903,36821,33611
2017,50634,54986,45459,50899,55339,51853,94764,44170,42506,50434,45568,53204,32896,69466,86395,44840,56874,35669,25287,70612,37522,33987
2018,52468,57110,46954,53380,56967,54567,96230,45074,43645,51785,47132,54813,33558,69835,89238,47552,57945,36446,26032,71569,38799,35116
2019,53551,58403,47942,54597,58510,55816,96389,45403,44833,52807,48594,55348,34112,71863,93081,50267,62377,36994,30521,65828,39608,35844
2020,54278,59168,48609,55282,58585,56538,94761,44913,45622,53569,49087,54834,34496,73631,94557,53937,62949,37240,31068,65278,40685,36564
2021,56127,61615,49821,58900,58076,60545,94111,44532,47468,54164,48507,57271,34884,75186,99209,57014,63507,37466,31535,64522,38737,36402
2022,58042,63676,51611,61408,60857,63324,96077,45191,48545,55669,49404,61933,36109,78601,100543,56842,65471,37930,32449,66795,40009,38045
2023,58420,63607,52474,60832,61765,62492,96596,46328,49477,56744,51159,61957,37662,80434,98243,55337,66841,39193,33433,68516,41508,39599
2024,61002,66749,54422,63672,63873,65622,96730,48039,51196,59176,53814,65184,38568,83822,107319,57069,68477,40648,34121,68886,42729,40200
2025,68257,74358,61288,70325,77993,72129,112145,53424,58161,66849,59883,69621,40695,96199,139456,63184,75694,42386,37897,76266,46748,42555
