年度別,臺北市,新北市,桃園市,臺中市,臺南市,高雄市,金門縣,連江縣,基隆市,宜蘭縣,新竹縣,苗栗縣,南投縣,彰化縣,新竹市,雲林縣,嘉義縣,屏東縣,花蓮縣,臺東縣,澎湖縣
2011,17753,13574,12044,12149,12044,12708,10031,10031,12044,12044,12044,12044,12044,12044,12044,12044,12044,12044,12044,12044,12044
2012,17753,14198,12293,12364,12293,14268,10558,10558,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293
2013,17753,14198,12293,13279,12293,14268,10558,10558,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293
2014,17753,14927,13043,14232,13043,14268,11723,11723,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043
2015,17753,15408,15385,14232,13043,14982,11723,11723,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043,13043
2016,18194,15408,16430,15701,13738,14982,12348,12348,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738
2017,18653,16440,16430,15701,13738,15529,12348,12348,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738,13738
2018,19388,17262,16430,16576,14866,15529,13362,13362,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866
2019,19896,17599,17494,16576,14866,15719,13362,13362,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866
2020,20406,18600,18337,17515,14866,15719,13978,13978,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866
2021,21202,18720,18337,17515,15965,16009,14522,14522,15946,15946,15946,15946,15946,15946,15946,15946,15946,15946,15946,15946,15946
2022,22418,18960,18337,18566,17076,17303,15350,15350,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076
2023,22816,19200,19172,18566,17076,17303,15724,15724,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076
2024,23579,19680,19172,18622,17076,17303,16384,16384,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076
2025,24455,20280,20122,19292,18618,19248,17209,17209,18618,18618,18618,18618,18618,18618,18618,18618,18618,18618,18618,18618,18618
